Título,Director,Inicio,Fin,Tipo,Identificación,Palabras clave,,,
Análisis inteligente de movilidad ciudadana a partir de información agregada de dispositivos móviles,"Armentano Marcelo Gabriel, Monteserin Ariel José",2021,2023,PIP,11220200102893CO,"CROWDSENSING; MOVILIDAD URBANA; CIUDADES INTELIGENTES; CROWDSENSING; MOVILIDAD
URBANA; CIUDADES INTELIGENTES",,,
Aprendizaje por refuerzo aplicado al etiquetado de tráfico de red,"Catania Carlos Adrian, Marchetta Fernandez Martin Gonzalo",2022,2024,Tipo 1,06/B040-T1,APRENDIZAJE POR REFUERZO, ETIQUETADO, TRAFICO DE RED,
Asistencia a la selección de componentes en arquitecturas de microservicios usando técnicas de machine learning,"Rodríguez Guillermo Horacio, Vidal Santiago Agustín",2021,2023,PIP,B1852,MICROSERVICIOS, MACHINE LEARNING, SELECCION DE COMPONENTES,
Autoescalado basado en aprendizaje profundo por refuerzo de workflows científicos en la nube,"Pacini Naumovich Elina Rocío, Catania Carlos Adrían",2022,2024,Tipo 1,B038-T1,CLOUOD COMPUTING, AUTOESCALADO, WORKFLOWS, APRENDIZAJE PROFUNDO POR REFUERZO
Desarrollo de Aplicaciones para colaboración en E-learning,"Costaguta Rosanna, Nieves María De Los Ángeles",2022,2025,Proyecto de investigación CICyT UNSE,,E-LEARNING, APRENDIZAJE COLABORATIVO,,
Desarrollo de sistemas embebidos para crecimiento regional,"Leiva Elías Lucas, Toloza Juan Manuel",2020,2023,I+D Investigación aplicada,,SISTEMAS EMBEBIDOS, SOLUCIONES HARDWARE, DESARROLLOS A MEDIDA,
"Desarrollo de soluciones informáticas para el diseño de novo de moléculas en proyectos de descubrimiento de
fármacos mediante el uso de técnicas de aprendizaje profundo y analítica visual","Ponzoni, Ignacio",2022,2025,PIP2022,11220210100600CO,DISEÑO DE NOVO, APRENDIZAJE MAQUINAL, ANALÍTICA VISUAL, DESCUBRIMIENTO DE FÁRMACOS
"Desarrollo de Tecnologías Quimioinformáticas basadas en Aprendizaje Profundo y Analítica Visual para la
Predicción de Propiedades de Moléculas","Ponzoni, Ignacio",2021,2024,PICT 2019,PICT-2019-03350,"QUIMIOINFORMATICA; APRENDIZAJE MAQUINAL; DISEÑO RACIONAL DE FARMACOS; INFORMATICA
DE POLIMEROS",,,
"Desarrollo de un aparejo móvil IoT basado en visión computacional e inteligencia artificial, para la determinación
automática del grado de terminación y condición corporal de bovinos",Machado Claudio,2022,2024,Desarrollo experimental tecnológico,PICT-STARTUP-2021-00016,GANADERIA DE PRECISION, CONDICIÓN CORPORAL, IMAGENES, IOT
"Diseño, desarrollo y fabricación de un simulador para el adiestramiento del personal submarinista de la Armada
Argentina",García Bauza Cristian Darío,2020,2022,I+D,,SOFTWARE DE SIMULACIÓN, SUBMARINOS, FUERZAS ARMADAS,
"Diseño, desarrollo, suministro e instalación de dos entornos CAVE y plataforma de software de simulación de
escenarios y situaciones para el entrenamiento de operatoria de perforación en petróleo y gas",García Bauza Cristian Darío,2021,2022,I+D,Expte. UNCPBA nro. 1-76253/2021 alc. 1 anx. 1,"SOFTWARE DE SIMULACIÓN; ENTORNOS DE REALIDAD VIRTUAL; ENTRENAMIENTO; PERFORACIÓN
EN PETRÓLEO Y GAS",,,
"Estimación de la evapotranspiración y su contribución en el sistema pampeano en un contexto de variabilidad
Climática","Degano María Florencia, Carmona Facundo",2021,2022,Investigación aplicada,03-JOVIN-71I,"EVAPOTRANSPIRACIÓN POTENCIAL; EVAPOTRANSPIRACIÓN REAL; INTELIGENCIA ARTIFICIAL;
TELEDETECCIÓN",,,
